title,text
BBC Choice Northern Ireland,"BBC Choice Northern Ireland was the national variation for BBC Northern Ireland of the BBC Choice service, that was broadcast by the BBC.

As with the local variants of BBC Choice in Scotland and Wales, BBC Choice Northern Ireland carried much of its content from the network BBC Choice service originating in London, but split off most evenings for around two hours a night (generally around 10pm to midnight) of local programming to Northern Ireland. When the EastEnders rebroadcast aired at 10pm, local programming would begin at 10.30pm. After around midnight, programming would revert to the network service until closedown.

The service was available on the ONdigital/ITV Digital terrestrial service and cable in Northern Ireland only, and on the Sky Digital satellite service across the UK – listed as channel 160 on Sky in Northern Ireland and at the rear of the programme guide elsewhere in the UK; this was as part of a system to allow the correct regional variant for the viewer's area to be accessed from the primary channel number.

The BBC Choice Northern Ireland service launched alongside the other BBC Choice variants on 23 September 1998 and ceased broadcasting on 30 March 2001; it was replaced by a fully networked BBC Choice. The channel was then itself replaced from 2003 by BBC Three, which has never had any regional variants. None of the BBC's other digital services offer variants (whilst BBC One HD currently offers a single UK-wide service based on the Network schedule, with local programme out-outs in Scotland, Wales, NI and the English regions currently available in SD only.)

Following the closure of BBC Choice's regional variants in 2001, BBC Two's variants for Scotland, Wales and Northern Ireland were made available to digital viewers (previously a single UK-wide version of BBC Two had been available on digital platforms).

Following the closure of BBC Choice Northern Ireland in 2001, a 'digital version' of BBC Two Northern Ireland launched which was separate to that available on analogue; it carried many of the NI-specific programme opt-outs as on the analogue service, but also carried some additional digital-only programmes, in the main carried over from BBC Choice NI. This dual-service continued until October 2006, when it was decided to recombine the two BBC Two services for Northern Ireland into a single schedule, which is the service now available.

Programmes
 Newsline Extra
 PK Tonight
 The Maternity
 Choice Cuts
 XIth Hour
 Awash with Colour
 Spotlight
 Greenfingers
 Comic Asides
 The DIY Show
 Straight Talking
 Chosen Words
 Big Houses
 Saints and Scholars
 Rankin Challenge

Presenters
 Kathy Clugston
 Jennie Browne
 Michael Selby

See also
 BBC Choice
 BBC Northern Ireland
 BBC One Northern Ireland
 BBC Two Northern Ireland

Television in Northern Ireland
Television stations in Ireland
Television channels and stations established in 1998
Television channels and stations disestablished in 2001
1998 establishments in Northern Ireland
2001 disestablishments in Northern Ireland
Defunct BBC television channels
BBC Northern Ireland"
Croomia japonica,"Croomia japonica is a plant species native to China and Japan.

References

Flora of China
Flora of Japan
Stemonaceae
Plants described in 1865"
Emmanuel Lucenti,"Emmanuel ""Emma"" Lucenti (born November 23, 1984) is a judoka from Argentina.  He competed at the 2008, 2012 and 2016 Summer Olympics in the men's half-middleweight (-81 kg).  At the 2008 Summer Olympics, he lost in second round to Euan Burton.  At the 2012 Summer Olympics, he reached the quarter-finals, where he lost to Kim Jae-bum.  As Kim continued on to the gold medal match, Lucenti took part in the bronze medal repechage, where he lost in the first round to Antoine Valois-Fortier. At the 2016 Summer Olympics, Lucenti was once again eliminated by Valois-Fortier, this time in the third round.

He qualified to represent Argentina at the 2020 Summer Olympics.

His older brother Rodrigo was also an Olympic judoka, competing in the lightweight (-73 kg) category.

References 

 JudoInside
 Facebook

External links
 

Argentine male judoka
Living people
1984 births
Argentine people of Italian descent
Pan American Games bronze medalists for Argentina
Judoka at the 2011 Pan American Games
Judoka at the 2008 Summer Olympics
Judoka at the 2012 Summer Olympics
Judoka at the 2016 Summer Olympics
Olympic judoka of Argentina
Pan American Games medalists in judo
Judoka at the 2015 Pan American Games
South American Games gold medalists for Argentina
South American Games bronze medalists for Argentina
South American Games medalists in judo
Competitors at the 2006 South American Games
Medalists at the 2011 Pan American Games
Judoka at the 2020 Summer Olympics"
Paraphytoseius cracentis,"Paraphytoseius cracentis is a species of mite in the family Phytoseiidae.

References

Phytoseiidae
Articles created by Qbugbot
Animals described in 1966"
Cyclotetradecaheptaene,"Cyclotetradecaheptaene, often referred to as [14]annulene, is a hydrocarbon with molecular formula C14H14, which played an important role in the development of criteria (Hückel's rule) for aromaticity, a stabilizing property of central importance in physical organic chemistry. It forms dark-red needle-like crystals.

Structure and aromaticity 
Although the conjugated ring of this annulene contains 4n+2 electrons, it only exhibits limited evidence for being aromatic.  It does not fully conform to Hückel's rule because none of its cis/trans isomers can adopt a completely planar conformation due to crowding of the interior hydrogens. There is evidence that it has two isomeric forms of comparable stability (trans, cis, trans, cis, trans, trans, cis- with four interior hydrogens (shown in the infobox) and trans, cis, trans, cis, trans, cis, cis- with three interior hydrogens) which rapidly interconvert at room temperature but can be observed at low temperature by NMR.  Its 1H NMR spectrum shows evidence of aromatic ring currents that result in an upfield shift for the interior hydrogens.  In contrast, the corresponding [12]- and [16]annulenes, which are weakly antiaromatic or nonaromatic, have downfield shifted interior hydrogens.  However, unlike the undoubtedly aromatic [18]annulene, [14]annulene does not bear the hallmark aromatic property of chemical stability, and it quickly decomposes when exposed to light and air.

References

Annulenes"
Maycroft,"Maycroft is a historic estate located at North Haven in Suffolk County, New York. The main house was built in 1886 and is a massive Queen Anne / Shingle Style frame residence.  It features horizontal massing, asymmetrical composition, high-pitched multigabled roof, prominent tower and chimneys, and multi-paned window sash.  Also on the property are a carriage house, tennis pavilion, brick garage, and frame storage shed.  In 1921, the property was deeded to the Episcopal Diocese of Long Island and used initially as a summer camp and vacation retreat for business women.  In 1952, it was occupied by the Teachers of the Children of God order, who operate the Tuller School.

It was added to the National Register of Historic Places in 1995.

References

External links
Maycroft (Old Long Island; March 12, 2012)

Houses on the National Register of Historic Places in New York (state)
Houses completed in 1886
Shingle Style houses
Houses in Suffolk County, New York
National Register of Historic Places in Suffolk County, New York
Shingle Style architecture in New York (state)"
Fusinus dimitrii,"Fusinus dimitrii is a species of sea snail, a marine gastropod mollusk in the family Fasciolariidae, the spindle snails, the tulip snails and their allies.

Description

Distribution

References

dimitrii
Gastropods described in 2007"
Ivan Plotnikov,"Ivan Vasilyevich Plotnikov () (1902–1995) was a Russian engineer and inventor of kirza, a type of artificial leather based on the multi-layer textile fabric, modified by membrana-like substances, a cheap and effective replacement for the natural leather. The material is mainly used in production of military boots and the belts for machinery and automobiles.

Plotnikov worked in the city of Kirov, at the Kirov plant or Kirovskiy Zavod, a fabric producing artificial leather. The name kirza is an acronym from Kirovskiy Zavod, which was the first place of the mass production of kirza.

The technology was invented in 1935 by Plotnikov and his fellow engineer Khomutov. The mass production began during the Winter War of the Soviet Union against Finland. Initially the material proved to be unfit to the winter conditions, and the production was halted. However, very soon the technology was improved and the mass production was resumed in the autumn and winter of 1941 during the German invasion of Soviet Union, since the large numbers of footwear were badly needed for the Red Army.

For the invention of kirza, Ivan Plotnikov was awarded the Stalin Prize the size of 100,000 rubles on 10 April 1942, as ordered by the Council of People's Commissars of the Soviet Union.

See also 
 List of Russian inventors

References 

Russian inventors
Stalin Prize winners
1995 deaths
1902 births
D. Mendeleev University of Chemical Technology of Russia alumni
Soviet inventors
Soviet engineers"
Kilimaini,"Kilimaini is a settlement in Kenya's Central Province.

References 

Populated places in Central Province (Kenya)"
Yuragiin Sainkhüü,"Yuragiin Sainkhüü (; born 14 November 1986) is a Mongolian international footballer. He made his first appearance for the Mongolia national football team in 2007.

References

1986 births
Living people
Mongolian footballers
Mongolia international footballers
Erchim players
Association football goalkeepers
Asian Games competitors for Mongolia
Mongolian National Premier League players"
Daniel of Erie,"Daniel of Erie (secular name Dmitry Borisovich Alexandrov, Дмитрий Борисович Александров; September 15, 1930 – April 26, 2010) was an American Russian Orthodox bishop of the Russian Orthodox Church Outside Russia.

Life 
He was born in 1930 in Odessa, Soviet Union. Due to anti-Communist family connections, Dmitry's father, Boris Alexandrov, decided to move the family to Zlatoust in the Ural Mountains in 1938. Within just a few months of the move, Boris was arrested and disappeared; it was later found out he was executed. Mrs. Alexandrov then moved her family back to Odessa.

In 1944 they left westward with the fleeing German Army, and within two years found themselves living in the Alps. Thanks to family in the United States, the Alexandrovs were able to emigrate to America, and came to New York City in 1949. From 1952 to 1958, Dmitry studied at Holy Trinity Orthodox Seminary (Jordanville, New York), finishing with the first graduating class, along with the future Metropolitan Laurus (Škurla).

From his early years, Dmitry Borisovich was interested in the pre-Nikonian ""Old Rite"" of the Russian Orthodox Church, and decided to work toward somehow healing the schism of the Old Believers.

In August 1965, he was ordained deacon, and soon afterwards, priest.

In 1988, he received the monastic tonsure and the new name of Daniel. On August 13, 1988, Hieromonk Daniel was consecrated a vicar bishop for the Diocese of Eastern America, with the title ""Bishop of Erie, Pennsylvania, Defender of the Old Rite"". The Church of the Nativity was his Cathedra; he played an integral role in reuniting the congregation with the Russian Orthodox Church. He was temporary administrator of the Diocese of Australia and New Zealand from 1995 to 1996.

Bishop Daniel died on April 26, 2010.

References

1930 births
2010 deaths
Bishops of the Russian Orthodox Church Outside Russia
Clergy from Odessa
People from Erie, Pennsylvania"
Basil Gill,"Basil Gill (10 March 1877 – 23 April 1955) was a British stage actor and film actor. His stage career included many roles in plays of Shakespeare.

Life
He was a son of the Rev. John Gill, of Cambridge.

His first stage appearance, in  Bury, Lancashire in 1897, was in The Sign of the Cross (Wilson Barrett's most successful play); the following year he appeared in this play in London. He then toured Australia and the USA with The Sign of the Cross and Ben-Hur.

In 1903 he joined Herbert Beerbohm Tree's company at His Majesty's Theatre, London, and appeared in plays of Shakespeare, playing several important roles. He left the company in 1907. He continued to perform, into the 1930s, in Shakespeare's plays during his career. As well as being a Shakespearean actor, he was regarded as a matinée idol and played romantic parts in modern plays.

His career as a film actor started with Henry VIII (1911): he appeared with Beerbohm Tree, on whose version of the play the film was based. In 1926, Gill appeared in two short films made in the De Forest Phonofilm sound-on-film process, Santa Claus as the title character, and Julius Caesar as Brutus. He appeared in many more films, the last being The Citadel of 1938.

Partial filmography
 Henry VIII (1911)
 On the Banks of Allan Water (1916)
 Missing the Tide (1918)
 The Admirable Crichton (1918)
 The Homemaker (1919)
 The Soul of Guilda Lois (1919)
 The Rocks of Valpre (1919)
 God's Good Man (1919)
 Julius Caesar (1926) short film of excerpt of Shakespeare's play, filmed in Phonofilm process
 Santa Claus (1926) with Gill as title character
 The School for Scandal (1930)
 Mrs. Dane's Defence (1933)
 The Divine Spark (1935)
 Immortal Gentleman (1935)
 Royal Cavalcade (1935)
 Rembrandt (1936)
 Gaol Break (1936)
 His Lordship (1936)
 The Crimson Circle (1936)
 I, Claudius (1937)
 St Martin's Lane (1938)
 Dangerous Medicine (1938) - Sir Francis
 The Citadel (1938)

References

1877 births
1955 deaths
People from Birkenhead
English male stage actors
English male film actors
English male silent film actors
20th-century English male actors"
Christopher Haase,"Christopher Haase (born 26 September 1987 in Kulmbach) is a German professional racing driver. He became the FIA GT3 European Champion in 2009, racing for Lamborghini and Reiter Engineering, and raced in GT1 for the first time in 2010.

He achieved considerable success in the 2014 season, sharing the winning Audi R8 LMS in the Nurburgring 24 Hours, and finishing second in the GTD class of the TUDOR United SportsCar Championship in America.

Born in Kulmbach, Bavaria, Haase began racing in 2006 in the ADAC Dacia Logan Cup, then the ADAC GT Masters series in 2007, and the European GT4 Cup.

Racing record

Complete GT1 World Championship results

Complete Deutsche Tourenwagen Masters results 
(key) (Races in bold indicate pole position) (Races in italics indicate fastest lap)

References

External links
 Official website

1987 births
Living people
People from Kulmbach
German racing drivers
FIA GT Championship drivers
European Le Mans Series drivers
FIA GT1 World Championship drivers
Racing drivers from Bavaria
24 Hours of Daytona drivers
Rolex Sports Car Series drivers
Blancpain Endurance Series drivers
ADAC GT Masters drivers
WeatherTech SportsCar Championship drivers
24 Hours of Spa drivers
24H Series drivers
Deutsche Tourenwagen Masters drivers"
